,asset,chrtagnt,clcode,effdate,fdicregn,name,trust,total_violations,unique_violations,year,decade,violation,no_violation
14793,93017.0,STATE,82,09/30/2020,Chicago,Ben Franklin Bank of Illinois,0.0,2.0,2.0,2020,2020,1.0,0.0
14797,9173196.0,OTS,33,10/20/1995,Kansas City,Roosevelt Bank,1.0,1.0,1.0,1995,1990,1.0,0.0
14799,115655.0,OCC,33,08/31/2022,Kansas City,Edward Jones Trust Company,1.0,1.0,1.0,2022,2020,1.0,0.0
14801,145940.0,OTS,37,09/29/2003,Atlanta,Amicus FSB,1.0,1.0,1.0,2003,2000,1.0,0.0
14815,9813776.0,OTS,33,12/08/1989,New York,City Federal Savings Bank,1.0,7.0,7.0,1989,1980,1.0,0.0
14816,74995.0,OCC,33,05/18/2018,Dallas,Liberty FSB,1.0,4.0,4.0,2018,2010,1.0,0.0
14820,347209.0,OCC,33,09/15/2015,Dallas,Bank of New Orleans,0.0,1.0,1.0,2015,2010,1.0,0.0
14832,149764.0,OTS,38,09/27/2001,New York,Revere Federal Savings and Loan Association,0.0,1.0,1.0,2001,2000,1.0,0.0
14834,192470.0,OCC,34,08/31/2022,Chicago,Central Federal Savings and Loan Association,0.0,3.0,3.0,2022,2020,1.0,0.0
14837,316828.0,STATE,41,10/08/2005,Chicago,Citizens Savings Bank,0.0,1.0,1.0,2005,2000,1.0,0.0
14838,3950708.0,OTS,33,03/14/1998,New York,Collective Bank,0.0,4.0,4.0,1998,1990,1.0,0.0
14840,148436.0,STATE,35,09/21/1989,Dallas,First Savings Association of Brenham,0.0,1.0,1.0,1989,1980,1.0,0.0
14843,86121.0,OCC,3,05/15/1995,Chicago,"Firstar Bank Quad Cities, N.A.",0.0,1.0,1.0,1995,1990,1.0,0.0
14859,636336.0,OCC,37,10/31/2011,San Francisco,"Fullerton Community Bank, FSB",0.0,1.0,1.0,2011,2010,1.0,0.0
14872,70286.0,OCC,34,07/25/2014,Chicago,"GreenChoice Bank, fsb",0.0,2.0,2.0,2014,2010,1.0,0.0
14877,14534.0,STATE,36,11/16/2007,Chicago,The Clifton Heights Savings & Loan Company,0.0,2.0,2.0,2007,2000,1.0,0.0
14891,26035.0,STATE,36,08/31/2022,Chicago,Columbia Savings and Loan Association,0.0,4.0,4.0,2022,2020,1.0,0.0
14913,319514.0,OTS,33,06/10/1994,New York,Annapolis Federal Savings Bank,0.0,1.0,1.0,1994,1990,1.0,0.0
14919,239513.0,OTS,33,03/28/1992,Chicago,Midfed Savings Bank,0.0,1.0,1.0,1992,1990,1.0,0.0
14921,128362.0,OTS,37,04/27/1990,San Francisco,"Westco Savings Bank, FSB",0.0,1.0,1.0,1990,1990,1.0,0.0
14929,379739.0,STATE,41,08/31/2022,Dallas,"TrustTexas Bank, SSB",0.0,1.0,1.0,2022,2020,1.0,0.0
14932,65996.0,OTS,33,12/29/1995,New York,Suburban Federal Savings Bank,0.0,1.0,1.0,1995,1990,1.0,0.0
14944,601225.0,OTS,37,10/23/1998,Chicago,Security Federal Savings and Loan Association of Cleveland,0.0,1.0,1.0,1998,1990,1.0,0.0
14948,6143903.0,OTS,33,12/18/2009,San Francisco,"First Federal Bank of California, a Federal Savings Bank",1.0,4.0,4.0,2009,2000,1.0,0.0
14955,2865077.0,STATE,13,06/19/2004,Dallas,Local Oklahoma Bank,0.0,2.0,2.0,2004,2000,1.0,0.0
14956,128190.0,STATE,21,08/31/2022,Kansas City,Custer Federal State Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
14958,15298.0,STATE,36,12/27/1996,New York,Keystone Savings and Loan Association,0.0,1.0,1.0,1996,1990,1.0,0.0
14968,169996.0,OCC,33,12/07/2018,Chicago,Home City Federal Savings Bank of Springfield,0.0,2.0,2.0,2018,2010,1.0,0.0
14979,403746.0,OCC,37,11/09/2012,Chicago,River Valley Financial Bank,1.0,4.0,4.0,2012,2010,1.0,0.0
15003,499076.0,STATE,21,05/01/2019,New York,Hamilton Bank,0.0,1.0,1.0,2019,2010,1.0,0.0
15020,161381.0,OTS,37,03/22/1991,Dallas,First Federal Savings and Loan Association of Chickasha,0.0,1.0,1.0,1991,1990,1.0,0.0
15027,350488.0,OTS,38,09/17/2010,Chicago,Maritime Savings Bank,0.0,2.0,2.0,2010,2010,1.0,0.0
15032,907144.0,STATE,21,04/17/2009,Chicago,Lincoln Bank,0.0,2.0,2.0,2009,2000,1.0,0.0
15037,9625.0,STATE,41,09/19/2002,Chicago,The Findlay Savings Bank,0.0,1.0,1.0,2002,2000,1.0,0.0
15038,740083.0,OCC,3,08/16/2008,Chicago,Century National Bank,0.0,1.0,1.0,2008,2000,1.0,0.0
15040,498070.0,OTS,33,02/26/1999,Chicago,Avondale Federal Savings Bank,0.0,2.0,2.0,1999,1990,1.0,0.0
15041,118523.0,OTS,38,04/12/1999,Chicago,Perpetual Federal Savings and Loan Association,0.0,2.0,2.0,1999,1990,1.0,0.0
15045,123748.0,OCC,33,04/30/2018,New York,Delanco Federal Savings Bank,0.0,4.0,4.0,2018,2010,1.0,0.0
15049,93467.0,STATE,21,08/31/2022,Kansas City,First Federal Savings and Loan Bank,0.0,5.0,5.0,2022,2020,1.0,0.0
15056,11495.0,STATE,35,06/01/1993,Chicago,Cherry Grove Savings Bank,0.0,1.0,1.0,1993,1990,1.0,0.0
15057,142683.0,OTS,37,10/31/1996,Kansas City,Sentinel Federal Savings and Loan Association of Kansas City,0.0,1.0,1.0,1996,1990,1.0,0.0
15093,7188401.0,OTS,37,03/01/1997,New York,First Federal Savings and Loan Association of Rochester,0.0,2.0,2.0,1997,1990,1.0,0.0
15098,3575040.0,OTS,33,03/15/1991,Atlanta,"Amerifirst Bank, A FSB",0.0,1.0,1.0,1991,1990,1.0,0.0
15099,241453.0,OCC,33,07/07/2022,New York,Chesapeake Bank of Maryland,0.0,1.0,1.0,2022,2020,1.0,0.0
15109,910991.0,OCC,33,03/31/2015,Kansas City,Heartland Bank,0.0,6.0,6.0,2015,2010,1.0,0.0
15111,160475.0,STATE,35,09/07/2001,New York,Cargill Bank of Connecticut,0.0,2.0,2.0,2001,2000,1.0,0.0
15129,176949.0,OCC,38,08/31/2022,New York,First Federal Savings of Middletown,0.0,2.0,2.0,2022,2020,1.0,0.0
15130,691529.0,OTS,33,08/22/1997,New York,Citizens Savings Bank F.S.B.,0.0,1.0,1.0,1997,1990,1.0,0.0
15153,4201313.0,OCC,3,07/24/1993,Dallas,Bank Western National Association,1.0,2.0,2.0,1993,1990,1.0,0.0
15197,58525.0,OCC,38,07/01/2015,Chicago,"Liberty Savings Bank, FSB",0.0,2.0,2.0,2015,2010,1.0,0.0
15207,197066.0,OTS,37,11/17/1995,New York,Fidelity Federal Savings and Loan Association,0.0,1.0,1.0,1995,1990,1.0,0.0
15216,385258.0,OTS,33,11/22/1997,Kansas City,"Mercantile Bank, FSB",0.0,1.0,1.0,1997,1990,1.0,0.0
15221,94824.0,OCC,37,08/31/2022,New York,Sunnyside Federal Savings and Loan Association of Irvington,0.0,3.0,3.0,2022,2020,1.0,0.0
15230,247232.0,OTS,33,09/30/1992,Kansas City,"Security Financial Banking and Savings, FSB",0.0,1.0,1.0,1992,1990,1.0,0.0
15240,125274.0,OTS,33,11/01/2001,Chicago,"Middlesboro Federal Bank, FSB",0.0,5.0,5.0,2001,2000,1.0,0.0
15249,769426.0,OCC,38,08/01/2015,New York,First Federal Savings and Loan Association of Bucks Co,0.0,2.0,2.0,2015,2010,1.0,0.0
15251,308029.0,STATE,15,08/31/2022,New York,The Brattleboro Savings and Loan Association,1.0,2.0,2.0,2022,2020,1.0,0.0
15273,580811.0,OCC,38,08/31/2022,Atlanta,First Piedmont Federal Savings and Loan Association of Gaffney,0.0,1.0,1.0,2022,2020,1.0,0.0
15274,94834.0,STATE,36,08/31/2022,Dallas,Century Savings and Loan Association,0.0,1.0,1.0,2022,2020,1.0,0.0
15277,161355.0,OTS,33,07/16/2010,Atlanta,Olde Cypress Community Bank,0.0,3.0,3.0,2010,2010,1.0,0.0
15278,1091193.0,OCC,33,02/15/2017,Kansas City,MidCountry Bank,0.0,1.0,1.0,2017,2010,1.0,0.0
15280,684804.0,STATE,35,06/04/1992,New York,Home Unity Savings and Loan Association,0.0,1.0,1.0,1992,1990,1.0,0.0
15295,46699.0,OTS,33,04/22/2005,Dallas,"NBC Bank, FSB",0.0,1.0,1.0,2005,2000,1.0,0.0
15301,440122.0,OTS,34,04/16/2010,Atlanta,First Federal Bank of North Florida,0.0,3.0,3.0,2010,2010,1.0,0.0
15303,1083725.0,STATE,41,07/01/2016,New York,Fox Chase Bank,0.0,4.0,4.0,2016,2010,1.0,0.0
15309,369580.0,OCC,33,08/31/2022,Chicago,Security Federal Savings Bank,1.0,1.0,1.0,2022,2020,1.0,0.0
15314,1810155.0,OTS,37,08/10/1989,Kansas City,Peoples Heritage Federal Savings and Loan Association,0.0,2.0,2.0,1989,1980,1.0,0.0
15327,653811.0,OCC,3,08/13/1998,Dallas,"First Commercial Bank, National Association of Memphis",1.0,3.0,3.0,1998,1990,1.0,0.0
15331,648763.0,OCC,38,08/31/2022,San Francisco,Evergreen Federal Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
15333,302216.0,OCC,33,04/02/2012,New York,St. Edmond's Federal Savings Bank,0.0,4.0,4.0,2012,2010,1.0,0.0
15340,1192436.0,OCC,3,07/05/2011,San Francisco,M & I Bank NATIONAL ASSOCIATION,0.0,1.0,1.0,2011,2010,1.0,0.0
15343,45059.0,STATE,36,11/30/2007,Chicago,Mt. Morris Savings and Loan Association,0.0,7.0,7.0,2007,2000,1.0,0.0
15347,441781.0,STATE,13,08/31/2022,Kansas City,Verimore Bank,0.0,2.0,2.0,2022,2020,1.0,0.0
15349,46376252.0,OCC,3,09/01/2007,Chicago,"Charter One Bank, National Association",1.0,1.0,1.0,2007,2000,1.0,0.0
15363,255081.0,OTS,33,10/10/1991,New York,"HomeBank, FSB",0.0,1.0,1.0,1991,1990,1.0,0.0
15365,8458553.0,OTS,37,10/31/1995,Chicago,First Federal of Michigan,0.0,1.0,1.0,1995,1990,1.0,0.0
15370,155368.0,OTS,37,08/31/1999,Dallas,First Federal Bank for Savings,0.0,1.0,1.0,1999,1990,1.0,0.0
15375,1744873.0,OTS,33,12/05/2003,Dallas,"Superior Bank, FSB",0.0,7.0,7.0,2003,2000,1.0,0.0
15378,39597.0,OCC,38,04/01/2014,Chicago,First Federal Savings and Loan Association of Hammond,0.0,1.0,1.0,2014,2010,1.0,0.0
15380,264238.0,STATE,41,07/01/2022,New York,Lincoln 1st  Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
15385,275566.0,OTS,33,07/25/1997,Atlanta,Florida FirstBank,0.0,2.0,2.0,1997,1990,1.0,0.0
15391,290886.0,OTS,38,05/03/1991,Kansas City,First Federal Savings and Loan Association of Pittsburg,0.0,1.0,1.0,1991,1990,1.0,0.0
15394,97860.0,OTS,33,04/15/2003,Kansas City,Washington Federal Savings Bank,0.0,2.0,2.0,2003,2000,1.0,0.0
15396,47185.0,OTS,33,06/09/2000,Chicago,"Midwest Savings Bank, FSB",0.0,1.0,1.0,2000,2000,1.0,0.0
15398,603767.0,OCC,37,02/13/2015,Dallas,First Federal Bank,0.0,2.0,2.0,2015,2010,1.0,0.0
15399,77530.0,OCC,34,08/31/2022,Chicago,Ladysmith Federal Savings and Loan Association,0.0,1.0,1.0,2022,2020,1.0,0.0
15423,112674.0,STATE,41,01/30/1998,Dallas,"The Bank of East Texas, S.S.B.",0.0,1.0,1.0,1998,1990,1.0,0.0
15424,177138.0,OTS,33,06/23/1995,Chicago,King City Federal Savings Bank,0.0,1.0,1.0,1995,1990,1.0,0.0
15425,586291.0,OCC,3,02/14/2004,Chicago,"Covest Banc, National Association",0.0,1.0,1.0,2004,2000,1.0,0.0
15426,888136.0,STATE,42,08/31/2022,Chicago,Liberty Bank for Savings,0.0,1.0,1.0,2022,2020,1.0,0.0
15435,1281258.0,OTS,33,11/01/1997,Dallas,Magnolia Federal Bank for Savings,0.0,2.0,2.0,1997,1990,1.0,0.0
15436,32917.0,OTS,38,03/08/1991,Dallas,First Federal Savings and Loan Association of Wewoka,0.0,1.0,1.0,1991,1990,1.0,0.0
15446,861055.0,STATE,21,06/01/2014,Dallas,Teche Federal Bank,0.0,2.0,2.0,2014,2010,1.0,0.0
15455,6569936.0,OTS,33,10/01/1998,New York,"The Long Island Savings Bank, FSB",0.0,2.0,2.0,1998,1990,1.0,0.0
15460,1046935.0,OCC,37,08/31/2022,Kansas City,Home Federal Savings Bank,0.0,3.0,3.0,2022,2020,1.0,0.0
15465,911504.0,STATE,42,08/31/2022,Kansas City,First Federal Bank of Kansas City,0.0,1.0,1.0,2022,2020,1.0,0.0
15467,79611.0,OCC,38,08/31/2022,Kansas City,Lake City Federal Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
15475,2113186.0,OCC,3,02/02/2008,Chicago,"First Indiana Bank, National Association",1.0,1.0,1.0,2008,2000,1.0,0.0
15487,168915.0,STATE,21,05/11/2015,Chicago,Monarch Community Bank,0.0,1.0,1.0,2015,2010,1.0,0.0
15492,761850.0,OTS,38,10/19/1989,Kansas City,Mid Kansas Federal Savings and Loan Association of Wichita,1.0,1.0,1.0,1989,1980,1.0,0.0
15495,278460.0,STATE,35,12/31/1988,Dallas,Home Savings and Loan Association,0.0,1.0,1.0,1988,1980,1.0,0.0
15501,2944195.0,OTS,37,03/15/1991,Kansas City,"Home Savings Association of Kansas City, FA",0.0,1.0,1.0,1991,1990,1.0,0.0
15502,142536.0,OTS,33,06/12/1992,Dallas,Cherokee Valley Federal Savings Bank,1.0,2.0,2.0,1992,1990,1.0,0.0
15503,466162.0,OCC,3,10/01/2018,Dallas,Athens Federal Community Bank National Association,0.0,2.0,2.0,2018,2010,1.0,0.0
15506,352615.0,OTS,33,01/04/2006,Dallas,AccessBank,0.0,8.0,8.0,2006,2000,1.0,0.0
15507,255680.0,OCC,37,08/31/2022,Dallas,Newport Federal Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
15510,91411.0,OTS,38,09/27/1991,Kansas City,Home Federal Savings and Loan Association of Harlan,0.0,1.0,1.0,1991,1990,1.0,0.0
15511,88612.0,STATE,13,08/31/2022,Kansas City,Investors Community Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
15545,2018703.0,OTS,33,03/16/1990,Dallas,"Abq Bank, A Federal Savings Bank",0.0,2.0,2.0,1990,1990,1.0,0.0
15549,50694.0,OTS,33,07/29/1994,Dallas,Citizens Federal Savings Bank,0.0,1.0,1.0,1994,1990,1.0,0.0
15550,815554.0,STATE,41,10/25/2014,New York,3rd Fed Bank,0.0,4.0,4.0,2014,2010,1.0,0.0
15551,49022.0,OTS,34,06/06/2003,New York,Berean Bank,0.0,2.0,2.0,2003,2000,1.0,0.0
15557,84096.0,OTS,37,06/30/1993,Dallas,Mutual Building and Loan Association FA,0.0,1.0,1.0,1993,1990,1.0,0.0
15561,59768.0,STATE,21,08/31/2022,Kansas City,Systematic Savings Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
15564,639378.0,OTS,33,05/01/1997,New York,Bankers Federal Savings FSB,0.0,1.0,1.0,1997,1990,1.0,0.0
15572,207043.0,OCC,3,07/01/1999,Chicago,Damen National Bank,0.0,1.0,1.0,1999,1990,1.0,0.0
15592,27784.0,OCC,38,04/01/2017,Kansas City,First Federal Savings and Loan Association of Wakeeney,0.0,1.0,1.0,2017,2010,1.0,0.0
15598,434111.0,OCC,37,02/24/2012,Kansas City,Home Savings of America,0.0,2.0,2.0,2012,2010,1.0,0.0
15607,64604.0,OTS,34,04/02/1993,Dallas,Tri-County Federal Savings Bank,0.0,1.0,1.0,1993,1990,1.0,0.0
15608,395800.0,STATE,41,12/31/2022,Chicago,Fox Valley Savings Bank,0.0,1.0,1.0,2022,2020,1.0,0.0
15618,18095396.0,OTS,33,09/11/1998,San Francisco,"Glendale Federal Bank, Federal Savings Bank",1.0,4.0,4.0,1998,1990,1.0,0.0
15626,150613.0,STATE,41,08/31/2022,Dallas,"Graham Savings and Loan, SSB",0.0,2.0,2.0,2022,2020,1.0,0.0
15627,55433.0,OTS,37,11/16/1990,Dallas,First Federal Savings and Loan Association,0.0,8.0,8.0,1990,1990,1.0,0.0
15628,128536.0,STATE,41,08/31/2022,Dallas,"Dalhart Federal Savings & Loan Association, SSB",0.0,1.0,1.0,2022,2020,1.0,0.0
15641,608151.0,OTS,33,12/31/1998,Dallas,First Federal Savings Bank of North Texas,0.0,1.0,1.0,1998,1990,1.0,0.0
15656,32576.0,OTS,33,08/12/1996,San Francisco,"Union Federal Bank, A federal savings bank",0.0,9.0,9.0,1996,1990,1.0,0.0
15662,53407.0,OTS,33,06/03/1996,Kansas City,"American Federal Bank, A Federal Savings Bank",0.0,1.0,1.0,1996,1990,1.0,0.0
15666,23469.0,OCC,33,03/29/2014,New York,"Liberty Savings Bank, F.S.B.",0.0,3.0,3.0,2014,2010,1.0,0.0
15678,111770.0,STATE,35,12/08/1994,Chicago,The Buckeye Savings Bank,0.0,1.0,1.0,1994,1990,1.0,0.0
15687,104920.0,OCC,37,08/31/2022,Dallas,Eureka Homestead,0.0,29.0,29.0,2022,2020,1.0,0.0
15688,603520.0,OTS,33,01/11/1996,New York,Sunrise Federal Savings Bank,0.0,1.0,1.0,1996,1990,1.0,0.0
15692,440162.0,OCC,33,01/07/2012,New York,Brooklyn Federal Savings Bank,0.0,3.0,3.0,2012,2010,1.0,0.0
15708,270049.0,OTS,34,08/01/1997,Chicago,"Community Bank, A FSB",0.0,1.0,1.0,1997,1990,1.0,0.0
