,asset,chrtagnt,clcode,effdate,fdicregn,name,trust,total_violations,unique_violations,year,decade,violation,no_violation
82,40553.0,STATE,21,02/25/1985,Chicago,The State Bank of Waldron,1.0,0.0,0.0,1985,1980,0.0,1.0
83,85305.0,STATE,21,06/19/1992,Chicago,Farmers State Bank of Wyatt,1.0,0.0,0.0,1992,1990,0.0,1.0
84,256850.0,STATE,21,05/10/1997,Chicago,The Commercial and Savings Bank of St. Clair County,1.0,0.0,0.0,1997,1990,0.0,1.0
85,393861.0,STATE,21,08/31/2022,Kansas City,Ohnward Bank & Trust,1.0,0.0,0.0,2022,2020,0.0,1.0
86,220743.0,STATE,21,08/17/1996,Kansas City,"Mercantile Bank of Cedar Rapids, Iowa",1.0,0.0,0.0,1996,1990,0.0,1.0
87,66379.0,STATE,13,12/15/2001,Kansas City,Central Trust and Savings Bank,1.0,0.0,0.0,2001,2000,0.0,1.0
88,118245.0,STATE,21,10/11/2019,Kansas City,Community State Bank,1.0,0.0,0.0,2019,2010,0.0,1.0
89,17735.0,STATE,21,11/01/1993,Kansas City,Farmers State Bank of Dows,1.0,0.0,0.0,1993,1990,0.0,1.0
90,12890.0,STATE,13,11/01/1985,Kansas City,Early Savings Bank,0.0,0.0,0.0,1985,1980,0.0,1.0
91,225868.0,STATE,21,08/31/2022,Kansas City,Leighton State Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
92,62764.0,STATE,21,11/17/2000,Kansas City,Hills Bank,1.0,0.0,0.0,2000,2000,0.0,1.0
93,31232.0,STATE,13,08/01/1987,Chicago,First of America Bank-Bay Area,0.0,0.0,0.0,1987,1980,0.0,1.0
94,34979.0,STATE,21,08/31/2022,Kansas City,American Trust and Savings Bank,1.0,0.0,0.0,2022,2020,0.0,1.0
95,174388.0,STATE,21,08/31/2022,Kansas City,Liberty Trust & Savings Bank,1.0,0.0,0.0,2022,2020,0.0,1.0
96,226331.0,STATE,21,08/31/2022,Kansas City,Farmers Savings Bank & Trust,1.0,0.0,0.0,2022,2020,0.0,1.0
97,64094.0,STATE,21,08/31/2022,Kansas City,First Trust and Savings Bank,1.0,0.0,0.0,2022,2020,0.0,1.0
98,31347.0,STATE,21,10/17/1992,Kansas City,Andrew Savings Bank,0.0,0.0,0.0,1992,1990,0.0,1.0
99,166342.0,STATE,21,08/31/2022,Kansas City,Citizens Savings Bank,1.0,0.0,0.0,2022,2020,0.0,1.0
100,38705.0,STATE,21,01/01/2002,Kansas City,Bennett State Bank,1.0,0.0,0.0,2002,2000,0.0,1.0
101,251147.0,STATE,21,08/31/2022,Kansas City,Success Bank,1.0,0.0,0.0,2022,2020,0.0,1.0
102,,STATE,21,12/31/1982,Kansas City,Exchange State Bank,,0.0,0.0,1982,1980,0.0,1.0
103,206637.0,STATE,21,05/28/1994,Chicago,Citizens Trust and Savings Bank,1.0,0.0,0.0,1994,1990,0.0,1.0
104,171523.0,STATE,13,03/31/2011,Kansas City,Bank Iowa,1.0,0.0,0.0,2011,2010,0.0,1.0
105,45716.0,STATE,13,07/09/2013,Kansas City,West Chester Savings Bank,0.0,0.0,0.0,2013,2010,0.0,1.0
106,131818.0,STATE,21,08/31/2022,Kansas City,Exchange State Bank,1.0,0.0,0.0,2022,2020,0.0,1.0
107,32739.0,OCC,3,04/01/1989,Kansas City,"Norwest Bank Keokuk, National Association",1.0,0.0,0.0,1989,1980,0.0,1.0
108,93070.0,STATE,21,07/14/2000,Chicago,Trigg County Farmers Bank,1.0,0.0,0.0,2000,2000,0.0,1.0
109,347923.0,STATE,21,11/01/2008,Chicago,"The Farmers Bank and Trust Company of Georgetown, Kentucky",1.0,0.0,0.0,2008,2000,0.0,1.0
110,218629.0,STATE,21,08/31/2022,Chicago,The Commercial Bank of Grayson,0.0,0.0,0.0,2022,2020,0.0,1.0
111,790248.0,STATE,21,12/31/1998,Chicago,Citizens Bank of Kentucky,1.0,0.0,0.0,1998,1990,0.0,1.0
112,2360805.0,STATE,13,10/09/2022,Chicago,ChoiceOne Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
113,57812.0,OCC,3,09/01/1990,Chicago,Huntington National Bank of Boone County,1.0,0.0,0.0,1990,1990,0.0,1.0
114,32130.0,STATE,21,06/06/2013,Chicago,The Kevil Bank,0.0,0.0,0.0,2013,2010,0.0,1.0
115,1604903.0,OCC,3,09/14/1996,Chicago,"Bank One, Lexington, National Association",1.0,0.0,0.0,1996,1990,0.0,1.0
116,23142.0,STATE,21,08/17/1991,Chicago,Farmers Exchange Bank,0.0,0.0,0.0,1991,1990,0.0,1.0
117,32345.0,STATE,21,08/31/2022,Chicago,Hart County Bank and Trust Company,1.0,0.0,0.0,2022,2020,0.0,1.0
118,1299520.0,STATE,21,03/07/2022,Chicago,Commonwealth Bank and Trust Company,1.0,0.0,0.0,2022,2020,0.0,1.0
119,,STATE,13,02/28/1975,Chicago,Springport State Savings Bank,,0.0,0.0,1975,1970,0.0,1.0
120,1335896.0,OCC,3,10/31/1990,Chicago,"NBD Grand Rapids, National Association",1.0,0.0,0.0,1990,1990,0.0,1.0
121,36417.0,STATE,21,02/12/1988,Chicago,"The First State Bank, White Cloud, Michigan",0.0,0.0,0.0,1988,1980,0.0,1.0
122,380777.0,STATE,21,10/09/2022,Chicago,The Shelby State Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
123,346092.0,STATE,21,08/31/2022,Kansas City,First State Bank and Trust,1.0,0.0,0.0,2022,2020,0.0,1.0
124,450147.0,STATE,21,01/01/1995,Chicago,Old Kent Bank-Grand Traverse,0.0,0.0,0.0,1995,1990,0.0,1.0
125,79810.0,OCC,3,08/31/2022,Kansas City,Stearns Bank Holdingford National Association,0.0,0.0,0.0,2022,2020,0.0,1.0
126,78338.0,OCC,3,10/01/2016,Kansas City,"Landmark Community Bank, National Association",0.0,0.0,0.0,2016,2010,0.0,1.0
127,95200.0,STATE,21,08/31/2022,Kansas City,First State Bank Minnesota,0.0,0.0,0.0,2022,2020,0.0,1.0
128,205414.0,STATE,21,08/31/2022,Kansas City,Security State Bank of Marine,0.0,0.0,0.0,2022,2020,0.0,1.0
129,74501.0,STATE,21,03/22/2008,Kansas City,Lake Country State Bank,0.0,0.0,0.0,2008,2000,0.0,1.0
130,311207.0,STATE,21,08/31/2022,Kansas City,Farmers and Merchants State Bank of Pierz,0.0,0.0,0.0,2022,2020,0.0,1.0
131,209831.0,STATE,21,10/25/2014,Kansas City,Prior Lake State Bank,0.0,0.0,0.0,2014,2010,0.0,1.0
132,286813.0,STATE,21,08/31/2022,Kansas City,Citizens State Bank of Roseau,0.0,0.0,0.0,2022,2020,0.0,1.0
133,452201.0,STATE,21,08/31/2022,Kansas City,First Farmers & Merchants Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
134,247768.0,STATE,21,01/25/2013,Kansas City,Sherburne State Bank,0.0,0.0,0.0,2013,2010,0.0,1.0
135,90921.0,STATE,21,10/01/1993,Chicago,Republic Bank - Central,0.0,0.0,0.0,1993,1990,0.0,1.0
136,39053.0,STATE,21,04/27/2013,Kansas City,Flagship Bank Winsted,0.0,0.0,0.0,2013,2010,0.0,1.0
137,108858.0,STATE,21,08/11/2017,Kansas City,Avon State Bank,0.0,0.0,0.0,2017,2010,0.0,1.0
138,26088.0,STATE,21,07/01/2000,Kansas City,Fidelity State Bank of Fairfax,0.0,0.0,0.0,2000,2000,0.0,1.0
139,48170.0,STATE,21,07/09/2016,Kansas City,Altura State Bank,0.0,0.0,0.0,2016,2010,0.0,1.0
140,99539.0,STATE,21,11/05/2018,Kansas City,Farmers State Bank of Underwood,0.0,0.0,0.0,2018,2010,0.0,1.0
141,153454.0,STATE,21,08/31/2022,Kansas City,Security State Bank of Hibbing,0.0,0.0,0.0,2022,2020,0.0,1.0
142,128625.0,STATE,21,11/05/2018,Kansas City,Financial Security Bank,0.0,0.0,0.0,2018,2010,0.0,1.0
143,8095.0,STATE,21,09/01/1987,Kansas City,Americana State Bank of Clara City,0.0,0.0,0.0,1987,1980,0.0,1.0
144,126576.0,STATE,21,08/31/2022,Kansas City,Produce State Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
145,96782.0,STATE,21,12/01/2018,Kansas City,North American State Bank,0.0,0.0,0.0,2018,2010,0.0,1.0
146,241111.0,STATE,13,02/01/2001,Chicago,M&I Bank of Burlington,0.0,0.0,0.0,2001,2000,0.0,1.0
147,25193.0,OCC,3,04/01/2008,Chicago,"Merchants Bank, National Association",0.0,0.0,0.0,2008,2000,0.0,1.0
148,55050.0,OCC,3,01/01/1988,Kansas City,"Norwest Bank Stillwater, National Association",1.0,0.0,0.0,1988,1980,0.0,1.0
149,9759.0,STATE,21,01/01/1994,Kansas City,"Farmers and Merchants State Bank of Cook, Incorporated",0.0,0.0,0.0,1994,1990,0.0,1.0
150,156998.0,STATE,21,06/25/2021,Kansas City,F & M Bank Minnesota,0.0,0.0,0.0,2021,2020,0.0,1.0
151,66102.0,STATE,21,08/31/2022,Kansas City,Elysian Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
152,36577.0,STATE,21,12/12/2015,Kansas City,First State Bank of Fertile,0.0,0.0,0.0,2015,2010,0.0,1.0
153,42979.0,STATE,21,08/31/2022,Kansas City,The Northern State Bank of Gonvick,0.0,0.0,0.0,2022,2020,0.0,1.0
154,20573.0,STATE,21,10/01/1995,Kansas City,First Bank of Minnesota,0.0,0.0,0.0,1995,1990,0.0,1.0
155,47092.0,STATE,21,04/27/1991,Kansas City,Cosmopolitan State Bank of Stillwater,0.0,0.0,0.0,1991,1990,0.0,1.0
156,175163.0,STATE,21,08/31/2022,Kansas City,PrinsBank,0.0,0.0,0.0,2022,2020,0.0,1.0
157,301679.0,STATE,21,12/02/2017,Kansas City,Peoples Bank of Commerce,0.0,0.0,0.0,2017,2010,0.0,1.0
158,2548.0,STATE,21,05/05/1984,Kansas City,Erhard State Bank,0.0,0.0,0.0,1984,1980,0.0,1.0
159,179887.0,STATE,21,08/31/2022,Kansas City,Pine River State Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
160,44746.0,OCC,3,10/02/1995,Kansas City,Community First National Bank of Caledonia,0.0,0.0,0.0,1995,1990,0.0,1.0
161,90566.0,STATE,21,03/20/2021,Kansas City,Northern Sky Bank,1.0,0.0,0.0,2021,2020,0.0,1.0
162,76165.0,STATE,21,08/31/2022,Kansas City,Hometown Community Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
163,93620.0,STATE,21,08/03/2018,Kansas City,State Bank of Delano,0.0,0.0,0.0,2018,2010,0.0,1.0
164,33320.0,STATE,21,04/30/2004,Kansas City,Ellsworth State Bank,0.0,0.0,0.0,2004,2000,0.0,1.0
165,116636.0,STATE,21,02/01/1996,Dallas,Security Bank,1.0,0.0,0.0,1996,1990,0.0,1.0
166,44975270.0,STATE,13,07/05/2011,Chicago,M&I Marshall and Ilsley Bank,1.0,0.0,0.0,2011,2010,0.0,1.0
167,37923.0,STATE,21,08/31/2022,Kansas City,State Bank of Jeffers,0.0,0.0,0.0,2022,2020,0.0,1.0
168,66906.0,STATE,21,09/21/2018,Kansas City,Security State Bank of Lewiston,0.0,0.0,0.0,2018,2010,0.0,1.0
169,70092.0,STATE,21,08/31/2022,Kansas City,Lowry State Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
170,525710.0,OCC,3,09/01/2015,Kansas City,"Western Bank, National Association",0.0,0.0,0.0,2015,2010,0.0,1.0
171,24308.0,STATE,21,09/06/2014,Kansas City,American State Bank of Erskine,0.0,0.0,0.0,2014,2010,0.0,1.0
172,16765.0,STATE,21,01/24/1992,Kansas City,Rural American Bank - Isle,0.0,0.0,0.0,1992,1990,0.0,1.0
173,79388.0,STATE,21,10/15/2011,Kansas City,Security State Bank of Howard Lake,0.0,0.0,0.0,2011,2010,0.0,1.0
174,110629.0,STATE,21,10/01/2011,Kansas City,First State Bank of Alexandria,0.0,0.0,0.0,2011,2010,0.0,1.0
175,58705.0,STATE,21,12/10/2021,Kansas City,United Southwest Bank,0.0,0.0,0.0,2021,2020,0.0,1.0
176,72832.0,STATE,21,03/04/2006,Kansas City,Rural American Bank - Foley,0.0,0.0,0.0,2006,2000,0.0,1.0
177,,STATE,21,12/31/1983,Chicago,Continental Bank & Trust Co.,,0.0,0.0,1983,1980,0.0,1.0
178,89826.0,STATE,21,07/01/1991,Kansas City,Firstar New Brighton Bank,0.0,0.0,0.0,1991,1990,0.0,1.0
179,39342.0,STATE,21,03/01/2000,Kansas City,West Central Bank,0.0,0.0,0.0,2000,2000,0.0,1.0
180,246329.0,STATE,21,08/31/2022,Kansas City,Commerce Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
181,810383.0,STATE,21,08/31/2022,Kansas City,Vermillion State Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
182,419723.0,STATE,21,10/07/2011,Kansas City,The RiverBank,0.0,0.0,0.0,2011,2010,0.0,1.0
183,8080.0,STATE,21,09/01/1990,Kansas City,Americana State Bank of Hayward,0.0,0.0,0.0,1990,1990,0.0,1.0
184,330525.0,STATE,21,08/31/2022,Kansas City,Citizens Bank & Trust Co.,1.0,0.0,0.0,2022,2020,0.0,1.0
185,329049.0,OCC,3,08/31/2022,Chicago,"Clare Bank, National Association",1.0,0.0,0.0,2022,2020,0.0,1.0
186,,STATE,21,01/17/1974,New York,Mid State Bank and Trust Company,,0.0,0.0,1974,1970,0.0,1.0
